nro_factura,tipo,fecha_emision,fecha_vto,cliente,cuit,cond_iva,neto,iva21,total,estado,cae_simulado
0001-00000029,B,2026-07-29,2026-08-28,Carlos Sánchez,27348734714,Consumidor Final,228159.31,47913.46,276072.77,vencida,25753260332309
0001-00000030,B,2026-06-22,2026-07-07,Consumidor Final,20749894134,Consumidor Final,195963.9,41152.42,237116.32,vencida,06489090100167
0001-00000031,B,2026-08-10,2026-09-09,Lucía García,20271937452,Monotributo,247710.24,52019.15,299729.39,pagada,04618499261891
0001-00000032,B,2026-06-15,2026-06-30,Carlos Sánchez,27348734714,Consumidor Final,258914.75,54372.1,313286.85,vencida,48356420873753
0001-00000033,B,2026-08-25,2026-09-09,Librería Central 1,20098050097,Monotributo,455302.42,95613.51,550915.93,pendiente,72181143744701
0001-00000034,B,2026-07-08,2026-08-07,Almacén Don Pepe 12,20196556981,Monotributo,404766.13,85000.89,489767.02,pagada,11002255794155
0001-00000035,B,2026-07-22,2026-08-21,Almacén Don Pepe 12,20196556981,Monotributo,481908.77,101200.84,583109.61,pagada,67621202169797
0001-00000036,C,2026-07-16,2026-07-31,Almacén Don Pepe 12,20196556981,Monotributo,434036.37,0.0,434036.37,vencida,27716701450899
0001-00000037,C,2026-08-06,2026-08-21,Kiosco El Faro 15,27369957773,Monotributo,227767.0,0.0,227767.0,vencida,75628900287721
0001-00000038,B,2026-07-12,2026-07-27,Consumidor Final,20443135182,Consumidor Final,178829.52,37554.2,216383.72,pagada,83866317797177
0001-00000039,B,2026-06-16,2026-07-16,Juan Pérez,27909670546,Consumidor Final,377714.7,79320.09,457034.79,pagada,66088019948837
0001-00000040,C,2026-06-07,2026-06-22,Diego Díaz,27346706562,Monotributo,425272.37,0.0,425272.37,pagada,99757113055488
0001-00000041,B,2026-08-29,2026-09-13,Ana Martínez,27417080531,Consumidor Final,41973.49,8814.43,50787.92,pagada,26149331637351
0001-00000042,B,2026-06-06,2026-06-21,Diego Martínez,20850671657,Consumidor Final,390629.68,82032.23,472661.91,pagada,98270808697829
0001-00000043,B,2026-06-14,2026-07-14,Almacén Don Pepe 12,20196556981,Monotributo,335610.47,70478.2,406088.67,vencida,58669346547226
0001-00000044,B,2026-08-29,2026-09-28,Consumidor Final,20123281206,Consumidor Final,424675.73,89181.9,513857.63,pagada,58333945228851
0001-00000045,B,2026-08-11,2026-09-10,Diego García,20162720465,Consumidor Final,299747.01,62946.87,362693.88,pendiente,68460810620034
0001-00000046,C,2026-08-27,2026-09-26,Librería Central 11,27414586850,Monotributo,90285.63,0.0,90285.63,pagada,43805719838638
0001-00000047,B,2026-08-28,2026-09-12,Carlos Sánchez,27348734714,Consumidor Final,464712.71,97589.67,562302.38,pagada,58004397359893
0001-00000048,C,2026-07-28,2026-08-12,Kiosco El Faro 13,20883561595,Monotributo,492057.6,0.0,492057.6,pagada,28160648422940
0001-00000049,C,2026-08-30,2026-09-14,Diego Díaz,27346706562,Monotributo,39171.48,0.0,39171.48,pendiente,90947985158328
0001-00000050,B,2026-07-24,2026-08-23,Almacén Don Pepe 5,30808412411,Monotributo,64133.87,13468.11,77601.98,pagada,35554398780157
0001-00000051,B,2026-08-22,2026-09-06,Carlos Fernández,27134332003,Consumidor Final,480270.47,100856.8,581127.27,pendiente,56164840858877
0001-00000052,C,2026-08-23,2026-09-07,Tech Hogar SA 3,30435346247,Monotributo,173750.12,0.0,173750.12,pagada,12880133613861
0001-00000053,A,2026-06-04,2026-07-04,Tech Hogar SA 10,30607337543,Responsable Inscripto,364096.78,76460.32,440557.1,pagada,10248193466766
0001-00000054,B,2026-06-03,2026-07-03,Juan Pérez,27909670546,Consumidor Final,343183.39,72068.51,415251.9,pagada,91901581449147
0001-00000055,C,2026-08-24,2026-09-08,Lucía García,20271937452,Monotributo,247514.09,0.0,247514.09,pagada,26842450882100
0001-00000056,B,2026-08-16,2026-09-15,Consumidor Final,20186999386,Consumidor Final,277832.98,58344.93,336177.91,pendiente,43536822239431
0001-00000057,B,2026-08-10,2026-09-09,Almacén Don Pepe 12,20196556981,Monotributo,329443.77,69183.19,398626.96,pagada,14139755231491
0001-00000058,C,2026-08-02,2026-09-01,Kiosco El Faro 13,20883561595,Monotributo,177606.12,0.0,177606.12,vencida,92995562053364
0001-00000059,B,2026-06-18,2026-07-18,Ana Martínez,27417080531,Consumidor Final,441385.2,92690.89,534076.09,pagada,54781291428341
0001-00000060,B,2026-08-04,2026-08-19,Almacén Don Pepe 5,30808412411,Monotributo,410068.35,86114.35,496182.7,vencida,93084887256394
0001-00000061,C,2026-08-04,2026-08-19,Almacén Don Pepe 9,30232260256,Monotributo,210456.88,0.0,210456.88,pagada,39282722992750
0001-00000062,C,2026-06-30,2026-07-15,Kiosco El Faro 15,27369957773,Monotributo,146891.42,0.0,146891.42,pagada,38567700518449
0001-00000063,B,2026-08-12,2026-08-27,Consumidor Final,20094777520,Consumidor Final,200796.59,42167.28,242963.87,pagada,91846386557790
0001-00000064,B,2026-06-18,2026-07-18,Consumidor Final,20749894134,Consumidor Final,99490.79,20893.07,120383.86,pagada,43222591365177
0001-00000065,B,2026-06-27,2026-07-12,Consumidor Final,20957885685,Consumidor Final,330684.43,69443.73,400128.16,pagada,30299228092024
0001-00000066,C,2026-08-16,2026-08-31,Almacén Don Pepe 12,20196556981,Monotributo,441684.31,0.0,441684.31,vencida,41379772369292
0001-00000067,B,2026-08-24,2026-09-23,Consumidor Final,20034471349,Consumidor Final,100506.42,21106.35,121612.77,pendiente,79913662103886
0001-00000068,A,2026-08-17,2026-09-01,Tech Hogar SA 10,30607337543,Responsable Inscripto,105162.65,22084.16,127246.81,vencida,90881172980686
0001-00000069,B,2026-06-06,2026-07-06,Ana Martínez,27417080531,Consumidor Final,130153.4,27332.21,157485.61,vencida,65991624731498
0001-00000070,B,2026-07-03,2026-07-18,Diego Martínez,20850671657,Consumidor Final,22625.34,4751.32,27376.66,vencida,09818063565126
0001-00000071,B,2026-07-03,2026-08-02,Consumidor Final,20964990913,Consumidor Final,430388.92,90381.67,520770.59,pagada,59463688725887
0001-00000072,C,2026-08-13,2026-09-12,Martín Díaz,27763201632,Monotributo,391613.35,0.0,391613.35,pagada,21372138658902
0001-00000073,B,2026-06-12,2026-06-27,Lucía García,20271937452,Monotributo,246400.96,51744.2,298145.16,vencida,11435190669849
0001-00000074,A,2026-06-23,2026-07-23,Comercio San Martín 4,20838425135,Responsable Inscripto,230706.58,48448.38,279154.96,pagada,84309883920530
0001-00000075,B,2026-07-06,2026-08-05,Librería Central 11,27414586850,Monotributo,189501.28,39795.27,229296.55,pagada,93801184895543
0001-00000076,B,2026-06-25,2026-07-25,Consumidor Final,20123281206,Consumidor Final,466262.64,97915.15,564177.79,vencida,42681818451848
0001-00000077,B,2026-07-03,2026-08-02,Consumidor Final,20186999386,Consumidor Final,483706.62,101578.39,585285.01,vencida,35779071416335
0001-00000078,B,2026-07-16,2026-07-31,Diego Martínez,20850671657,Consumidor Final,356392.91,74842.51,431235.42,pagada,41651827553942
0001-00000079,C,2026-09-03,2026-09-18,Kiosco El Faro 13,20883561595,Monotributo,132733.46,0.0,132733.46,pagada,43333952111790
0001-00000080,B,2026-06-06,2026-07-06,Consumidor Final,20094777520,Consumidor Final,198174.34,41616.61,239790.95,pagada,94728463920867
0001-00000081,B,2026-06-05,2026-07-05,Consumidor Final,20094777520,Consumidor Final,208984.12,43886.67,252870.79,vencida,27187500369155
0001-00000082,B,2026-07-04,2026-07-19,Consumidor Final,20034471349,Consumidor Final,283310.43,59495.19,342805.62,pagada,79552763655647
0001-00000083,B,2026-08-13,2026-08-28,Almacén Don Pepe 12,20196556981,Monotributo,410811.52,86270.42,497081.94,vencida,38663227026728
0001-00000084,B,2026-09-01,2026-10-01,Consumidor Final,20094777520,Consumidor Final,396959.81,83361.56,480321.37,pagada,89061203471754
0001-00000085,B,2026-07-17,2026-08-16,Ana Martínez,27417080531,Consumidor Final,185187.33,38889.34,224076.67,pagada,59399824558771
0001-00000086,C,2026-07-30,2026-08-14,Lucía García,20271937452,Monotributo,436763.67,0.0,436763.67,vencida,56996112535544
0001-00000087,B,2026-08-22,2026-09-21,Consumidor Final,20123281206,Consumidor Final,150199.09,31541.81,181740.9,pagada,59876220234132
0001-00000088,B,2026-06-13,2026-06-28,María Díaz,27966319314,Monotributo,469660.96,98628.8,568289.76,pagada,00681149216433
0001-00000089,B,2026-07-27,2026-08-11,Carlos Sánchez,27348734714,Consumidor Final,83013.01,17432.73,100445.74,vencida,00557784872829
0001-00000090,B,2026-07-29,2026-08-28,Consumidor Final,20123281206,Consumidor Final,271260.71,56964.75,328225.46,vencida,45783174564240
0001-00000091,B,2026-07-15,2026-08-14,Librería Central 1,20098050097,Monotributo,245215.02,51495.15,296710.17,pagada,77406493085368
0001-00000092,B,2026-07-21,2026-08-05,Diego Rodríguez,27694531473,Consumidor Final,98369.36,20657.57,119026.93,vencida,66341638944846
0001-00000093,B,2026-06-24,2026-07-09,Kiosco El Faro 13,20883561595,Monotributo,159005.74,33391.21,192396.95,vencida,97497350208021
0001-00000094,B,2026-07-05,2026-07-20,Carlos Sánchez,27348734714,Consumidor Final,363294.05,76291.75,439585.8,vencida,31207356475705
0001-00000095,A,2026-06-19,2026-07-04,Almacén Don Pepe 6,30534874016,Responsable Inscripto,147921.72,31063.56,178985.28,pagada,87234601367303
0001-00000096,B,2026-09-03,2026-09-18,María Pérez,27837770143,Consumidor Final,270146.78,56730.82,326877.6,pendiente,76452088147435
0001-00000097,A,2026-08-25,2026-09-09,Comercio San Martín 4,20838425135,Responsable Inscripto,487171.55,102306.03,589477.58,pagada,65024916300979
0001-00000098,A,2026-07-18,2026-08-02,Tech Hogar SA 10,30607337543,Responsable Inscripto,139386.68,29271.2,168657.88,pagada,95005281273585
0001-00000099,B,2026-09-02,2026-09-17,Juan Sánchez,20735454948,Consumidor Final,30249.36,6352.37,36601.73,pagada,24077848739285
0001-00000100,B,2026-09-02,2026-10-02,Juan Pérez,27909670546,Consumidor Final,152155.74,31952.71,184108.45,pendiente,82182744857086
